multiple,false_signal_rate,whipsaw_rate,avg_stop_dist_pct
1.0,45.03,55.71,1.56
1.25,44.4,54.58,1.93
1.5,39.47,56.67,2.35
1.75,36.03,50.79,2.7
2.0,33.49,54.04,3.19
2.25,31.34,55.5,3.62
2.5,28.74,58.02,4.02
2.75,25.54,57.7,4.49
3.0,21.22,60.9,4.93
3.5,16.67,62.82,5.89
