multiple,false_signal_rate,whipsaw_rate,avg_stop_dist_pct
1.0,42.05,46.96,1.97
1.25,37.55,46.52,2.49
1.5,34.98,49.54,2.99
1.75,33.05,48.9,3.57
2.0,30.51,50.39,4.04
2.25,28.36,50.77,4.59
2.5,26.14,51.69,5.22
2.75,23.87,52.55,5.85
3.0,22.4,56.5,6.46
3.5,18.43,64.38,7.79
